reviewHeadline,authorJobLocation,reviewDescription,company,compensationAndBenefitsRating,authorJob,cultureAndValuesRating,workLifeBalanceRating,careerOpportunitiesRating,seniorLeadershipRating,reviewDate
IRP analyste perf,Pantin,"IRP est un service dont la moyenne d'age est assez jeune.,Une bonne ambiance entre les différents collègues permet de garantir une communication simple entre les services.,Un poste intéressant et qui permet d'avoir un un contact régulier avec les clients.",BNP Paribas,2.0,"Risks and Performance Analyst (Ancien employé), ",4.0,4.0,3.0,3.0,5 octobre 2014
Environnement agréable,Meyzieu,"Bonne équipe de travail,Environnement favorable pour l'évolution",BNP Paribas,5.0,"Chargée d'affaires professionnelles (stage) (Ancien employé), ",5.0,5.0,5.0,5.0,30 septembre 2014
Environnement de Travail Agréable,"Issy-les-Moulineaux,","Bonnes Conditions de Travail, climat agréable...............",BNP Paribas,4.0,"Contrôleur de Gestion CDD (Ancien employé), ",5.0,5.0,3.0,5.0,29 septembre 2014
Environnement de travail agréable,Montreuil sous Bois,"Travaillant au sein d'une équipe de trois traducteurs externes, coordonnée par un employé interne au BNP, j'ai passé trois ans dans un environnement agréable, propice au travail de traduction.,Une journée typique consiste à réceptionner les demandes des clients (internes), les analyser et les repartir parmi l'équipe. Nous voyons ensemble les dates / délais après analyse des textes. Les textes varient, notamment, entre l'informatique et le financier, avec d'autres documents de gestion, comités, communication, etc.,Les traducteurs sont tous anglophones, avec une expérience variée - débutant/e, intermédiaire, expérimenté/e. Ceci nous aide dans la gestion quotidienne des projets, chacun apportant ses qualités linguistiques et/ou techniques.,On est encadré par un employé interne, qui nous laisse une grande liberté dans notre travail, comprenant la tranquillité qui est nécessaire afin de produire les traductions de qualité. Elle contribue énormément à l'ambiance paisible et professionnelle du bureau.,Il n'y a pas, cependant, de perspectives d'évolution. On est des externes, en mission au sein de la banque pour une durée maximale de trois ans.,C'est un cadre qui me fournit tout ce dont j'ai besoin - un contact avec les clients, collègues, ainsi qu'une collaboration de proximité avec des traducteurs.",BNP Paribas,4.0,"Mission de traducteur (Employé actuel), ",3.0,5.0,3.0,3.0,24 septembre 2014
Travail,BORDEAUX,"Le travail c'est avant tout l'épanouissement dans ce que l'on fait , c'est pour cela que le poste que nous occupons doit nous correspondre. Par ailleurs, une bonne entente entre les collaborateurs est primordial car la communication au sein de l'entreprise est source de bon travail.,Les responsabilités sont importante à donner à un salarié, pour qu'il se sente utile et à sa place. Et pourquoi pas augmenter dans son statut.",BNP Paribas,4.0,"Agent d'accueil (Ancien employé), ",4.0,4.0,3.0,3.0,21 septembre 2014
Environnement de travail agréable,Porte de Montreuil,Amicale sportive culturelle <3 ambiance propice au travail,BNP Paribas,5.0,"Consultante PMO (Employé actuel), ",5.0,5.0,5.0,2.0,18 septembre 2014
Cadre de travail peu agréable,Noisiel,"Journée de travail agréable avec le contact client,Les opportunité de carrières sont nombreuses mais cela ne me concerne pas vu que je n'était que en CDD,Les collaborateurs sont trés agréables et les taches a effectué pour le pote de conseiller accueil ne sont pas trés compliquées cependant il y a beaucoup de procédure.",BNP Paribas,3.0,"Noisiel - Auxiliaire (Ancien employé), ",2.0,2.0,5.0,1.0,15 septembre 2014
bonne condition de travail,"Montreuil, A8","Assistance et prise en charge à distance,Ticketing (itms),,configuration de Messagerie( Lotus Notes)",BNP Paribas,2.0,"Technicien Help Desk (Ancien employé), ",1.0,3.0,3.0,1.0,10 septembre 2014
Parfait,Paris,"J'ai fait plusieurs poste au sein du groupe en interime, et j'y retournerai avec plaisir.",BNP Paribas,5.0,"Assistante de directeur de l'activité.(bilingue) (Ancien employé), ",4.0,3.0,3.0,3.0,9 septembre 2014
Entreprise de renom,Marseille,Une équipe compétente et une expérience enrichissante sur le plan professionnel.,BNP Paribas,5.0,"Assistant contrôleur de gestion (Ancien employé), ",3.0,3.0,5.0,5.0,30 août 2014
Excellent groupe,"Paris, A8","Excellent groupe,Collaborateurs très proféssionnels,Projets de haut niveau",BNP Paribas,0.0,"Senior Analyst/PM (Ancien employé), ",0.0,0.0,0.0,0.0,19 août 2014
environnement de travail agréable et enrichissant,"Paris, A8","Le cadre de travail était enrichissant autant d'un point de vue professionnel que social. L'atmosphère était celle d'un endroit où les salariés étaient au centre des attentions de la hiérarchie (forces de propositions, conduite de projets, découverte et échanges avec des équipes multi-culturelles, etc.).",BNP Paribas,5.0,"Middle Officer, Trade Support Primary (Ancien employé), ",5.0,5.0,5.0,5.0,19 août 2014
Entreprise correct,alsace,Assure une formation de qualité à ces collaborateurs en alternance.,BNP Paribas,0.0,"Conseiller clientèle (Ancien employé), ",0.0,0.0,0.0,0.0,11 août 2014
Poste plaisant,"Niort, B7","Début de formation accueil et guichet. Par la suite action commerciale, rendez-vous en autonomie, gestion d'un porte-feuille client, traitement des opportunités commerciale...,Très bon management, collaborateurs toujours présent si besoins.",BNP Paribas,5.0,"Brevet Technicien Supérieur Banque en alternance (Ancien employé), ",5.0,5.0,5.0,5.0,26 juillet 2014
