authorJobLocation,reviewHeadline,reviewDescription,reviewDate,authorJob,company
"Dallas, TX",,"I maintain chemical and gas units at texas instruments in dallas texas as a contractor for 15 years worked shift,ordered chemical and gases as needed, hazmat trained.",25 janvier 2016,Machine Operator,Air Liquide
"Rimouski, QC",,"Negative work environment from staff. Complaining, swearing and yelling at each other. Make yourself a gift, don't leave any other company to work there.",20 janvier 2016,Superviseur Satellite,Air Liquide
"South Shields, ENG",,"I was on a seasonal contract taking calls for medical oxygen orders.Most of the time straight forward and a fairly relaxed place to work. Co-workers and team leaders were great but senior management were disconnected from the work force despite being in the same room. ,Toughest part of the job was dealing with distressed callers but thankfully this wasnt all that often except for a few regular callers.,I enjoyed the practical equipment training side of the job and the fcat it was very close to home, working hours were also very good.",13 janvier 2016,Customer Service Advisor,Air Liquide
Nigeria,,"My Internship program covers learning in all areas of the company. Here one gets to learn about different field of study that are not peculiar to your own course , this makes one versatile in any job. I learnt how to be creative that is bringing up new idea that can add value to the growth of the firm. ,We had good management system and cooperative co-workers. The hardest part of the job is working in a section that requires much input with little training.Most enjoyable part of the job is working in the production section  where i was able to combine the ideas i got with that of what i was taught in school.",11 janvier 2016,Internship,Air Liquide
"Houston, TX",,". Collaborate with Operations and other departments to develop, review, revise, and maintain the needed KPIs to support efficiency and compliance.",9 janvier 2016,Quality Improvement Specialist,Air Liquide
"Dallas, TX",,"get week schedule,main job formulating etchans for the week,other responsibility filling nh40h mcvs ,great great co-workers,great supervisor great manager,hardest part safety since we deal with chemicals,most enjoyable flexible shift",7 janvier 2016,Chemical Technician,Air Liquide
Bay Area San Francisco,,"a complete waste of one's time especially when you're looking for work,way too many rules or regulations,takes hours to get through all of the obstacles",2 janvier 2016,service technician,Air Liquide
"Houston, TX",,"My favorite job I ever had was serving my country in the USN! The company was a very close second. ,My job title changed frequently but the job remained the same. Technical support, Field IT. I loved working my territory and resolving customer technical issues. A great bunch of people to work with. My manager was outstanding. He was a true leader of our technical team. He was confident, competent, fair, dependable, constant, a real honor to work with. I only left when the contract was about to end. ,This company cared about its employees. After IKE, they helped their employees deal with the aftermath. Some, like me, were honored to be called on to help right after this devastating hurricane. ,Great job, great employees, great management, a real honor to work with them for over 9 years.",28 décembre 2015,"network administrator, field-IT support",Air Liquide
"Philadelphia, PA",,"Only worked there for over a year, yanked due to military deployments.  However, great people that cared and liked their job.  I have no complaints",16 décembre 2015,Territorial Sales Manager,Air Liquide
"Jacksonville, FL",,Would say I enjoyed it while I was there but as far as opportunity goes I had to go. Was not disappointed that I left. Great employees the typical day was ok.,14 décembre 2015,Sorter/ Forklift Operator,Air Liquide
"Bologna, northern Italy",,It was a good experience at Air Liquide. Good job/life balance but management was really poor. Every worker considered just like a number.I have seen over the years some colleagues being laid off despite having produced great performance in terms of debt collection. I really do not know how to explain this kind of decisions,11 décembre 2015,manager and office assistant,Air Liquide
"Morrisville, PA",,I learned so much from all my fellow co-workers at the Morrisville ESG plant.  My boss was incredibly helpful and knowledgeable.  He also was concerned about my experience and made sure to provide an awesome 10 weeks for me.,8 décembre 2015,Intern,Air Liquide
South Shields,,"management was non existent, had no structured training this caused high staff attrition and a poor working enviroment",3 décembre 2015,Customer Service advisor,Air Liquide
"Calgary, AB",,It is an alright place to work. The main issue is the HR policy. They seem to think that the Engineers working for them are the lowest class of all the folks working in the company. No Job satisfaction,2 décembre 2015,Deputy Lead I&C Engg,Air Liquide
Paris France,,I worked in Air Liquide France and I found the team friendly and supportive through out my assignment period. The Management / the team were open to ideas and I was given complete freedom during my assignment.,9 août 2015,"Manager - Quality, HSE and Risk Management",Air Liquide
"Ras al-Khaimah, RK",,productive and fun. a typical day at work. what you learned. management. your co-worker.the hardest part of the job.the most enjoyable part of the job,28 novembre 2015,stainless steel tig welder,Air Liquide
"Longmont, CO",,"Job is interesting, benefits are good, 8-5 position.  Negative environment/shared work space in very small room. Large company in France, but extremely small in Longmont (under 10 people in office in Longmont), would not recommend this position at all. Nothing fun about working with negative people.",24 novembre 2015,Customer Service Representative,Air Liquide
"Houston, TX",,Budget issues keep this company from being a real player.  I find it hard to take a company seriously if you cannot get your financial act together.,20 novembre 2015,IT Service Delivery Manager,Air Liquide
"Etiwanda, CA",,Excellent company to work for.  I enoyed my brief time with airliquide and i would suggest anybody to deal with that company.,21 octobre 2015,order puller,Air Liquide
"Bellshill, SCT",,"good workplace with ongoing training and a culture of respect to each other , I learned about filling gasses and the dangers and need to work safely and adhere to rules . The management were approachable and straight talking , my co workers were easy to get on with and we worked well together, the hardest part of the job was working in the yard in the winter in bad conditions , the most enjoyable part of the job was knowing when you were dealing with medical gasses you were helping someone in need.",14 octobre 2015,Production Operative,Air Liquide
Longmont Co,,"I work daily to get my customer what they need. I will look for stock in other plants and work my connections with plant personal to get better delivery dates on the products my customers need. I sell specialty gases which can shut entire operations to shut down costing the customers thousands of dollars. I take this very seriously and work to get the customer what they need. I enjoy the people I work with and love the challenging environment.,The company recently went through a system change that has made giving the best customer service I can give a massive challenge.",25 septembre 2015,Customer Service Rep,Air Liquide
"Cambridge, MD",,"Long days of doing the same thing over and over again. The pay was good but pay is not everything. Some people would like this job, it just was not for me.",14 septembre 2015,Shipping Lead,Air Liquide
Houston tx,,"Over all- it honestly does suck. I'm a current operator. ,Safety is very poor= ex.. We actually dont have a safety personnel oh wait we do oh never mind not anymore. Only when they have to have a safety person they elect a person.,Pay= thats a joke. Worse paying company ever. They have a staff if operators thats going to retire soon and decide to pay new operators $20. Yes you are an operator closing valves shutting units down the whole 9 yards. If you are a family man well 20$ isnt going to cut it.,Raises= well they believe in a no cap system. Well its a way to say they will give you 40 cents per year or less. I got lucky to get 50 cents this year. ,Management is extremely poor. They are puppets. ,Upside.. If you are a young person with no responsibilities and you couldn't find a job this is a good start.,Just about every new operator has left within 2 years. I plan on doing the same starting today.,Yes, im smart and a very good operator.",26 août 2015,Process operator,Air Liquide
louisiana,,"Under  staffed in a potentially dangerous environment. Under paid for our work. Management is terrible, all about who you know.",21 août 2015,Production Tech 2,Air Liquide
"Morrisville, PA",,"•	Primary responsibility for implementing new ways the process quality control, created “Statistical Process Control Data” for increase efficiency and QC. ,•	Created new projects for updated the ‘Standard Operation Procedure’ documents for plant production stations.,•	 Created and designed: ‘Process Control Documents” - which included: gas filling technology: all process parameters, process views and pictures - step by step by gas filling procedure. Process Control Document – help for cross reference training between operators,•	Redesigned the plant facility: “Clean room” by ISO standard, also implemented new method inspection the cylinders. Created  “ A boroscope cylinders inspection” data and pictures for quality control analysis and cylinder inspections. ,Sent Invoice for patent: SUB-3700 “Method of gas cylinder internal inspection procedure using the articulating video borescope”. 2012.,•	Occurred to minimize production delay and quality inconsistencies. Provided project for packaging method: carousel system for sort and organized orders by customer request.            Did project to improve packaging speed and quality: automatically attachment labeling system to gas cylinders. Corrected bar code reading system for shipping department data by “ Truck about” system.,Created automatically shrink-wrapping method by heat gun attachment for improves the gas cylinders packaging quality and speed. ,Sent Invoice for patent: SUB-4443 “Heat gun attachment for shrink wrapping gas cylinder valves”. 2013,•	Created project for improve a production flow and make a gases",20 août 2015,Quality Assurance Specialist,Air Liquide
"Dallas, TX",,They took really good care of their employees there were always incentives and parties for birthdays and sometimes free travel,8 août 2015,Quality Assurance Assistant,Air Liquide
"Geismar, LA",,"each day can be busy or slow paced but always productive,i learn how to run the plant more and more each day,management can be cluttered at times,most of my co workers are easy to get along with,having disagreements with fellow employees,solving problems",18 juillet 2015,Process Operator,Air Liquide
"Houston, TX",,"High speed work environment. Very nice manager. Very demanding, but also rewarding. Free breakfast on Fridays. Many meals on the company.",15 juillet 2015,Accounts Payable Specialist,Air Liquide
Gauterng,,"Its a physically work that i do, that need all the concentration to do the job. and working towards satisfying all our customers needs",7 juillet 2015,Gas blendar,Air Liquide
"Folsom, CA",,"Air Liquide is a company that is left behind times.  It is big and profitable but has an underdeveloped culture.  Rules mean nothing.   The management turns a blind eye to all issues and allow themselves to be pushed around by employees.  Needless to say, the most enjoyable part of the job was when I got to leave and go home and forget AL for at least a few hours.",1 juillet 2015,Quality Engineer,Air Liquide
Elizabeth South SA,,repair and maintenance of liquified gas equipement daily. Manufacture bottle filling stations as required by production needs.Close involvement with operators for their production and safety needs. Hardest part was doing preventative maintenance around production requirements.,26 juin 2015,Plant fitter,Air Liquide
"Houston, TX",,I worked there as they were a client for my company. It was a good place to work. Good atmosphere and qualified coworkers.,9 juin 2015,PROJECT CONTROLS SPECIALIST,Air Liquide
"Bryanston, GP",,"I joined Lurgi/Air liquide to be part of owners engineering team.  Unfortunately that changed due to project requirements.  The first major phase of the work was to establish a cost estimate and reduce cost where possible.  During the next phase all the cost improvements had to be worked in the Basic Engineering Package in  limited duration and update the cost estimate.,Between the two phases of the Bio-ethanol Project. There was one mayor project costing exercise for tendering purposes.",26 mars 2015,Senior Mechanical Engineer,Air Liquide
"Johannesburg, GP",,Chaotic and fast paced environment. Highly flammable and dangerous environment requiring the highest levels of safety.,9 mars 2015,Facility Manager - Flammable Plant,Air Liquide
"Dubai, DU",,Normally you start 8-5 though at times you will extend depending on the job profile. You get to learn a lot as new ideas keep cropping.The easy part is that you get very supportive staff.,3 mars 2015,Administration / Receptionist,Air Liquide
Paris France,,I worked in Air Liquide France and I found the team friendly and supportive through out my assignment period. The Management / the team were open to ideas and I was given complete freedom during my assignment.,9 août 2015,"Manager - Quality, HSE and Risk Management",Air Liquide
"Rancho Cucamonga, CA",,"Ok company not stable even though they preach they are. good benefits though. Management is good to their employees and will work with your schedule. I would recommend this company to anyone getting out of high school, the pay is very very low and raises are hardly exis",25 février 2015,Customer Service/Sales/Mechanical Engineering,Air Liquide
"Freeport, TX",,I was always proud to work for this company. Advancement opportunities were always available. The work day could be stressful but gratifying.,17 février 2015,FIELD SOURCING SPECIALIST,Air Liquide
"Houston, TX",,"Many of the processes at Air Liquide are in the process of being updated, so the work environment is a little hectic but there is a light at the end of the tunnel. The improvements should make a considerable difference over the next year or so.",16 février 2015,Senior Category Specialists,Air Liquide
"Saratoga Springs, NY",,"Overall, Air Liquide is a good place to work with advancement opportunities possible. Salaries are competitive. If you're mobile and willing to relocate, then there are many opportunities.",10 février 2015,"Health, Safety, and Environmental Specialist",Air Liquide
"Hangzhou, China",,"I like the diversity and dynamic culture of Air Liquide, we worked on projects internationally, with cooperation from different continents/countries/ cultures, we built our plants world wide distributed. I worked in Air Liquide Engineering, with 3 different departments/functions. Air Liquide itself is a good university, you learn from, you serve the company.",22 janvier 2015,Project Procurement Manager,Air Liquide
"Houston, TX",,"Well established company with a long history of making money.,However, it's difficult to get anything done quickly or efficiently due to the fragmentation of all the support functions (IT, Communications, HR, Accts Payable, etc.) and the widespread use of outside contractors to perform much of that work. I find it very difficult to know who to contact about a variety of problems (e.g., computer has locked up, will my phone work overseas next week, why hasn't my exp report been paid for a month, how do I complete my mandatory training, etc.). Even when I do get a name or number, the person identified never answers the phone or respond to emails. I'm not exaggerating - NEVER on the first try, I usually end up walking around to colleagues and getting multiple suggestions about who, based on personal experience, may be able to help. Quite frustrating and time consuming.,This attitude seems to also prevail in the general management attitude of the company which can be summarized as - ""let's talk about it next week"". Even if you have an urgent need to get an answer now, it's put off until a more convenient time in the future. I've had multiple requests that just never seem to get an answer, many work products sent out for review/comment that go ignored, and meetings where people commit to attend but don't. And the consequences for this lack of accountability? None. This lack of follow-through, coupled with having so much difficulty getting the little (but important) things taken care of breeds an attitude of going slower and slower and putting things off until ""next week"". Not the",12 janvier 2015,HSES Manager,Air Liquide
"Geismar, LA",,This is a good place to work for if you can deal with over the top safety.,16 décembre 2014,Driver,Air Liquide
Worcestershire,,The most enjoyable part of my job is the people who I work with as we all work as a team and make a fun and productive working environment.,3 novembre 2014,Home Oxygen Co-ordinator,Air Liquide
"Johannesburg, GP",,"Air Liquide is a great place to work at, there is growth and I have learned a lot in terms of coordinating training for more than 50 people at once, The colleagues are easy to get along with and team work is key as much as individuality is also key. The hardest part of the job is when people accept training invites and not pitch, either than that working with people is the best job.",3 novembre 2014,Training coordinator,Air Liquide
"austin, texas",,It was clean and fully protective environment. Working in clean-room environment was not ideal for my situation but I think it is good.,28 octobre 2014,Samsung Austin Semiconductor Contractor,Air Liquide
"Malta, NY",,"every day is is the same, make sure all gas and chemical supplying the FAB is up to par and order anything at a low level. team work is a must sence you work with hundreds of new people and construction workers. overall it is a great place to work but a lot of jobs are dangerous and can get you hurt if you don't pay attention to detail.",23 octobre 2014,TCGM Tech 2,Air Liquide
"Houston, TX",,Performed drafting duties in the I & E department.Great work environment with support from management.,30 septembre 2014,I and E Drafter,Air Liquide
"Houston, TX",,"interesting work, could be so much better if weren't so poor with people management, feel so much better since leaving",26 septembre 2014,Compliance,Air Liquide
"Dubai, UNITED ARAB EMIRATES",,"The best Company I've ever work so far, working with multinational nationality learning lots of things.",22 septembre 2014,INTERSTATE LOGISTICS MANAGER,Air Liquide
Edmonton,,"The previous company was bought out by Air Liquide, after that there was changes. I prefer to not comment. I will say if you have nothing good to say don't say anything.",12 septembre 2014,Gas Apparatus Repair Tech,Air Liquide
"North Branch, NJ",,Great company to work for challenges you every day. The most enjoyable part of the job is working with the management team to excel with meeting customer demands.,8 septembre 2014,Warehouse Manager,Air Liquide
"Jacksonville, FL",,Great place to work. Unfortunately the company has closed.,6 septembre 2014,Cylinder filler,Air Liquide
"Edmonton, AB",,Its a good company. Co-workers are nice. Month end is always hectic.,5 septembre 2014,A/P Admin-Western Region,Air Liquide
"Houston, TX",,This is a great global company with great people.It lacks direction as far as the workload of management vs staff employees. Also a huge backlog of technical problems that makes work inefficient.,3 septembre 2014,"Contractor, Associate Analyst",Air Liquide
"Johannesburg, GP",,"High volume off calls,Patience and attention to details,very good and supportive,when you communicate with a client and tells you she does not want to speak English,its when i rech my collection target",21 août 2014,Credit Controller,Air Liquide
Paris France,,I worked in Air Liquide France and I found the team friendly and supportive through out my assignment period. The Management / the team were open to ideas and I was given complete freedom during my assignment.,9 août 2015,"Manager - Quality, HSE and Risk Management",Air Liquide
"Fremont, CA",,I enjoy working for this company But my wife wants to be back in Washington state to be around family.,5 août 2014,First Shift Supervisor,Air Liquide
"Burlington, ON",,"Inside sales, work on my own as it was a small office and only required one person working on site.",15 juillet 2014,"SATELLITE COORDINATOR, INSIDE SALES",Air Liquide
"Houston, TX",,"Air Liquide is a large company with a lot of diversity. Specialty gas industry is not what it use to be, therefore many areas and departments are undergoing restructuring.",9 juillet 2014,Service Center Mail Coordinator,Air Liquide
"Fresno, CA",,its an honest living.its hard in summer time.pay is good but the company has way to many rules not pertaning to fda and dot.,4 juillet 2014,Truck Driver/Leadman,Air Liquide
"Alberton, GP",,"its a good company to work for, the only discouragement is the Salary...",14 mai 2014,Security PA,Air Liquide
"Fremont, CA",,"The plant was closed down , however it was a nice place to work",2 mai 2014,Production Planner,Air Liquide
"Baton Rouge, LA",,good company to work for with great benefits and good equipment,6 avril 2014,CYLINDER DELIVERY DRIVER,Air Liquide
"Pasadena, TX",,"• Fill cylinders and trailers with helium, air, argon, carbon dioxide and nitrogen.,• Use forklift to load and unload pallets of cylinders onto trucks for delivery.,• Keep daily maintenance on cylinders for clients.,• Ship and receive cylinders and trailers.",2 avril 2014,Operator Filler,Air Liquide
"Santiago de Chile, RM",,The place where I worked was special because really new and tiny. but everybody was led by the same project to make it growing up,19 mars 2014,Marketing assistant,Air Liquide
"Houston, TX",,I enjoyed air liquide and would have loved to have a full time position with them.,13 mars 2014,Core staff,Air Liquide
"Dallas, TX",,"Air Liquide is a great place to work with fun, energetic people. There are plenty of advancement opportunities from the onset if you demonstrate high performance.",5 mars 2014,Industrial Management Engineer,Air Liquide
"Alrode, GP",,"The work has become repetitive and monotonous over a period of time, thus resulting in boredom.,I learned people and time management skills.,There is no micro management and we work independently.,Co-workers are very co-operative and supportive of one another.,Hardest part is to manage time and budget.,The most enjoyable part of the job is to solve customer problems satisfactory.",17 février 2014,Project Leader,Air Liquide
"Huger, SC",,"One production technician runs the plant and 3 remote plants at night alone. Most times its quiet and boring but when something breaks , it gets you so busy you wish you have ten hands and 3 brains. The rotating shift is hard on your body clock so when it's my day off, I rest for two days minimum.",26 janvier 2014,Production Technician,Air Liquide
"New Johnsonville, TN",,Great job for a temporary hire. Learned a lot about Air separation and a few other things but didn't really stay long enough to give a good review.,25 octobre 2013,Summer Help,Air Liquide
"La Porte, TX",,"A typical day was spent at various refineries pumping nitrogen or other gas through pipelines. Usually work a 12 hour+ shift, either day or night. The management was very interesting, some of them were not very experienced. My co-workers were helpful but typically only spent time with their friends on the job. The hardest part of the job was the long, unknown hours. The most enjoyable part of the job was making the customer satisfied and learning new equipment.",6 octobre 2013,Industrial Service Operator,Air Liquide
"Eugene, OR",,"I typically had 10 hour days working for Air Liquide on this project, but I loved every minute! My immediate supervisor was an amazing man and was always fair and knew that family came first.,I enjoyed working with everyone there, I really have no bad things to say about my experience with Air Liquide.,The hardest part of the job was when I had to let an Administrative Assistant go. She just wasn't working out for her Construction Manager. She was great as a person, but was not organized at all.",4 octobre 2013,Executive Assistant/Office Manager,Air Liquide
Riyadh,,a good place to work and high chances of career advancement. dynamic and a bright future,28 septembre 2013,HR Coordinator,Air Liquide
"Geismar, LA",,Management is a disaster. People will not hesitate to stab you in the back. Safety is tossed around with complete disregard of its importance and used as a card that is pulled out when the plants dont want to do something. Management tosses safety aside when it comes to saving money. They expect you to handle the responsibility of a few people all rolled up into your position.,6 septembre 2013,Engineer,Air Liquide
"Hyderabad, AP",,good technical knowledge and very effective team work as per time and quality with perfection,31 août 2013,Piping Designer,Air Liquide
"Four Ashes, ENG",,"toilet facilities were inadequate for the number of staff also had to share with the warehouse staff who took great pride in completely missing the bowl and getting it on the seat or the floor.,was lied to by higher management about job security right up until the last moment, and even then they weren't 100% sure that redundancies were happening.,I learned that management fixed the KPI's to better suit the NHS targets - illegal and immoral.,Co-workers, mainly the one supervisor, loved to say one thing then do another - also found it in their interest to back up members of staff who didn't pull their weight against better performing colleagues, also loved to give out banter but couldn't ever take it back.,HR dept. a complete joke - didn't know what they were doing at any time.,The most enjoyable part of the job was when the ice creme man came.",22 août 2013,Planning Coordinator,Air Liquide
Paris France,,I worked in Air Liquide France and I found the team friendly and supportive through out my assignment period. The Management / the team were open to ideas and I was given complete freedom during my assignment.,9 août 2015,"Manager - Quality, HSE and Risk Management",Air Liquide
"Etiwanda, CA",,"fun place to work lots of training, co workers are great working nite shift is hard on my family at current moment trying to coach kids soccer is not duable for me with current hours",13 août 2013,Cylinder Loader/Prefiller/Filler,Air Liquide
"Houston, TX",,At AL I worked as an engineer who was responsible for project oriented tasks. I worked there for three years.,11 août 2013,ALLEX - Project Engineer,Air Liquide
"Houston, TX",,"Unrealistic expectations. Within two weeks they decided they didn't want me working there so started nit picking every possible thing I may have done incorrectly. Kept meeting with me to discuss mistakes which were not consistent errors or they were issues that were process issues, not mine. Meeting with HR didn't help me, but hurt me as management retaliated against me. I have never been treated so poorly by a supervisor or co-workers in all my many years of working. Even had encounters of harrassment which resembled junior high school behavior.,The supervisor has fired at least 10-20 people in the past year. I would not recommend this company to anyone unless other departments function at a professional level. Legally they may be functioning within the law, but morally and ethically they are definitely outside the limits.",8 août 2013,Administrative Assistant,Air Liquide
"Houston, TX",,This is a great company to work for. Great culture and work environment.,29 juillet 2013,Senior Engineer,Air Liquide
"Houston, TX",,Air Liquide is a great place to work. The environment in ALPC is friendly and career advancement is a priority.,23 juillet 2013,Engineer Recruiter - Air Liquide (ALPC),Air Liquide
"Alrode, GP",,"There is nothing unexciting about shipping/buying. Everyday there is a new challenge and something to learn. this is what made the job interesting and me, wanting to perform at my very best.,there are many projects with critical deadlines and meeting these deadlines are challenging & stressful but when it is accomplished the senses of achievement knowing the I assisted is very rewarding.,I think the key to being good at this job is firstly to love what you do,,and secondly to be sincere and honest at all times, even if it would,mean upsetting someone.”,I have never had a bad relationship with any of my co-workers in all the years that I have been working. I keep in mind that if I am able to assist someone today, then when I need the assitance it will be given to me.",11 juillet 2013,BUYING/SHIPPING CLERK & SUPPLY CHAIN CO-ORDINATOR,Air Liquide
"Hyderabad, AP",,"I am thankful to the company as it has given many challenging opportunities to excel in the profession,It is a professional place one can really enjoy the work",26 juin 2013,Dy General Manager,Air Liquide
Freeport,,The company itself is good but the Houston management is not. The woman over maintenance stationed in Houston is probably the most shady person ever.,18 juin 2013,Manager,Air Liquide
Texas,,AL is all about problem solving. Technology support is getting a lot stronger. Lots of great Talent at AL.,13 juin 2013,"Director, US Employee & Labor Relations",Air Liquide
