sentence;package & benefits;work culture;job description & take outs;relationship with management;team;general appreciation;career & progression
  Plenty of variety, flexibility, and many professionals surround you on a regular basis;;1;1;1;;;
Provides an opportunity to work on your idea;;1;;;;;
 being creative;;;;;;1;
‰Û¢ Sound expertise in integration with other modules such as SD, FI/CO, PP/QM and adequate ABAP skills to cater cross-track functionalities;;;1;;;;
,‰Û¢ Adept in SAP implementation, system integration, post go-live support and in providing in-depth knowledge of end-to-end business processes related to Supply Chain and technology integration;;;1;;;;
,‰Û¢ Involved in developing WM Competency Team;;;1;;;;
,‰Û¢ Sound proficiency at various levels of project execution such as Requirement analysis, design, build, unit & system integration testing, documentation and end user training;;;1;;;;
,‰Û¢ Worked as Subject Matter Expert, Process Lead and Business Analyst for SAP functional tracks with clients with Multi-Cultural background;;;1;;;;
,‰Û¢ An effective communicator with sound analytical and interpersonal skills with the ability to relate to people at any level of business and management;;;;;;;
,‰Û¢ Hands-on experience on Extended Warehouse Management;;;;;;;
The company gave many benefits to the employees;1;1;;;;;
 My work mainly involved coding and unit testing for the powertrain application software;;;1;;;;
 Though the work was tedious, the environment enabled us to work smoothly;;1;;;;;
 In the autocoding team, the work mainly involved development of autocoding tool to perform autocoding of the given specification;;;1;;;;
 The environment was very conducive and taught me how to be proactive in a competitive field;;;;;;1;
A typical day consists of picking up various packages from different stores and delivering those packages to the customers doorstep in a n certain time period;;;1;;;;
  I've learned how to use my time wisely and to maneuver around the city in a timely manner;;;1;;;;
  Management was okay;;;;1;;;
 It was a bit unorganized and all over the place but they managed to get the job done;;1;;;;;
  My co-workers were good but most not trained properly so it effected work efficiency;;;;;1;;
  The hardest part of the job was delivering packages because of the lack of efficiency in providing proper notification on gaining access to the building and lack of response time from our dispatchers;;;1;;;;
 The pay was okay but not worth the everyday hassle;1;;;;;;
I never really got too much into the MS culture;;1;;;;;
 Because it was only a few weeks after we were purchased that the new CEO announced we were all fired;;;;1;;;
 Bad karma;;;;;;;
The team I worked with is full of politics;;;;;1;;
 The work seems to be over pouring and you don't to develop skills in a particular technology as you are required to keep switching based on the project you get;;;1;;;;
Accenture is a great place to learn and grow;;;;;;1;
 The work is challenging and dynamic and the people are at the top of their game;;;;;;1;
 With hard work and time, it is a place where a career can blossom;;;;;;;1
Microsoft being one of the world biggest technology company and absolutely a mother of the most used window i learned a lot and am willing to share a lot;;;;;;1;
EY is till date the best company I have worked for;;;;;;1;
 Being a fresher i have learned a lot in 2 years;;;;;;1;
 Working environment is excellent;;1;;;;;
 Managers are good and supportive;;;;1;;;
 Work pressure is high but very friendly atmosphere;;1;;;;;
 Good place for women employees;;1;;;;;
Microsoft is a huge company and carries with it some of the corporate negatives;;;;;;1;
 However, it has great people and a lot of opportunities;;;;;;1;
,I worked mostly with Great Plains Software employees so I got a mix of both cultures;;1;;;;;
Great and nice place to learn a lot of things,,good atmosphere and nice ambiance,,working with different nationalities is awesome with different mind set and different theory;;1;;;;;
Good company for freshers;;;;;;1;
 Lot of small projects;;;1;;;;
 lot of option to move internally;;;;;;;1
 Good salary hikes;1;;;;;;
 management need to think of expanding business;;;;1;;;
I mostly worked on my own as this is a summer scholar program;;;1;;;;
 I didn't get to meet my colleagues as they live in France;;;;;1;;
 But, it was a good collaborative effort;;;;;1;;
Got good amount of experience and exposure;;;;;;1;
 However, long working hours and 24*7 work leads to imbalance of personal and professional life;;1;;;;;
 However, enjoyed working even in such situation;;;;;;1;
As above;;;;;;;
,A truly global network offering potential to develop projects together with colleagues based in overseas offices and to experience work in different countries or divisions;;1;;;1;1;
 Truly committed to training and improving the skills of employees;;1;;;;;
 A very solid company for those aspiring a long term career and a good learning curve for those initiating their professional life;;;;;;;1
A typical day at work included monitoring mail box, working on multiple reports, processing tax organizer, drafting tax documents to clients, reviewing mail work;;;1;;;;
,I learned a lot about tax preparation with regards to different countries as i supported multiple countries, i also learned about different tools used for tax preparation for different countries;;;1;;;;
,Management was amazing, including my co-workers cos even though i was a part of one team, during requirement i was flexible to support different teams, biggest challenge was to learn the new process from different team, but i enjoyed coordinating with new people and learned a lot in terms of process and knowledge;;;1;1;1;;
Overall Satisfied with the company and its work culture;;1;;;;1;
 Loved to work here;;;;;;1;
,Learnt real time deployment of an application to production server from scratch;;;1;;;;
,Management is very supportive here;;;;1;;;
,The hardest part of the job was the deadline;;;1;;;;
,The enjoyable part of the job was the party after the successful deployment;;;1;;;;
Deloitte is a great place to start and advance your career;;;;;;1;
 The PTO they offer is some of the best available;1;;;;;;
 They also a lot of opportunities in other service areas;;;;;;;1
Its pleasure to work with accentuate its great experience workplace and team work and security of the employee;;;;;1;;
  and improve technology they are providing trainings for new technology;;;;;;;
It was a job, that is really all it was;;;;;;1;
 Low pay, next to no benefits;1;;;;;;
I‰Ûªm currently a business intelligent consultant specialised in Business Object (from version 5 to XIR3);;;1;;;;
 My 5 years of experience in consulting have allowed me to acquire a strong technical knowledge with Business Object Tools, from loading data process to reporting, including BO authorization management;;;1;;;;
 I worked for 4 years as a project owner and 1;;;1;;;;
5 years as a project contributor, participating in various projects, gaining an awareness of the qualities necessary to lead a project, such as rigor, a sense of organization, being able to prioritize and making a balanced analysis of a situation;;;1;;;;
Deloitte provides great work culture;;1;;;;1;
,Work-Life balance;;1;;;;;
,Good opportunities;;;;;;;1
Good place to work;;;;;;1;
  More of a relaxed culture being a French company;;1;;;;;
 More training facilities would be beneficial and flexibility to move around the company;1;;;;;;
- Great work-life balance,- Challenging roles and great learning opportunities makes it more intresting,- Nice work culture;;1;;;;;
Microsoft is kind of Ok place to work;;;;;;1;
 Usually its long hours;;;1;;;;
 fast paced environment;;1;;;;;
 Good thing is you have to face lots of challenges with huge curve of learning everyday;;1;;;;;
Accenture is one of the big platform to start with the career;;;;;;1;
 The work culture is very cool and  use to have lot of party and fun;;1;;;;;
 I have learnt lot of things and it will go long way to motivate me to keep doing good work;;;1;;;;
the company is geberous when it comes to compensation and benefits, and reflects it's values and any aspect;1;;;;;;
 I grew mature and resilient in this company;;;1;;;;
I majorly work in bond analysis team and preparation of US tax forms;;;1;;;;
 The process is not properly organised and the attrition rate is bit high and this is due to work pressure;;;1;;;;
 The hardest part of the job is staying late nights in office and working more than 12 hours and the organisation does not provide any incentives for these and they expect to work on weekends too;;;;;;;
At Accenture, I learned to deal with people from various parts of the world and various backgrounds;;;1;;;;
Great people, outstanding company, great leadership, great culture and environment;;;;1;1;1;
 Great work life balance, great benefits and easy commute;1;1;;;;;
Most of the jobs and work at Microsoft are very rewarding with great people to learn from and opportunities for advancement;;;;;;;1
,The company is huge, so there are many roles a person could perform, and changing roles periodically is actually encouraged;;;;;;;
,However, even with the new management in place, the review model is not good and promotes competition over cooperation;;;;1;1;;
 For some people that is preferred, but it detracts from creating a healthy team and company culture;;1;;;;;
,Ultimately, everyone is a number, and the size of the corporation can undermine the value of people;;1;;;;;
 Some teams are better than others and the quality of the team managers makes all the difference;;;;;1;;
Worked on E books;;;1;;;;
 Coming to my is its very and easy task i handled;;;1;;;;
 Its a good management with co-workers;;;;1;;;
 In every six month company use to take one day vacation;1;;;;;;
 resorts;;;;;;;
 funny and enjoyable life,;;1;;;;;
One of the best companies I have worked for;;;;;;1;
 Started my HR career with them;;;;;;;
 I have got immense amount of exposure with them and with this exposure, I am sure I will be able to settle in any organization;;;1;;;;
High levels of personal development, work with excellent people;;;;;1;;
 Early responsibility and rapid career progression;;;;;;;1
It has been a great firm to work for as far as gaining experience goes;;;;;;1;1
the princes trust training programme was brilliant;;;;;;;
 it helped me get a job staying on at EDF energy and it helps to build skills and knowledge as well as confidence;;;1;;;;
The workers are mostly in their twenties or thirties;;;;;1;;
 The environment is laid back, but it's still very serious and productive at the same time;;1;;;;;
At Deloitte the people at the lower levels are personable, smart, and driven, but priorities within Deloitte are what they are;;1;;;;;
 For advancement it is expected that you attend social functions and engage in office initiatives which deliver little to now professional development;;;;;;;1
 Alignment of skills to projects is also lacking and though you are sold billed as being able to do whatever you want the staffing process is highly dependent upon the partners in your office;;;;;;;1
 This is an issue for individuals in smaller offices whose partners largely gravitate towards 1 to 2 practice areas;;;;1;;;1
I was able to learn many new things at work;;;1;;;;
 Management encouraged me to do more trainings to develop myself;;;;1;;;
 My co-workers were encouraging;;;;;1;;
 I thoroughly liked my work environment;;1;;;;;
Work in various clients across the United States;;;1;;;;
 Hours are dependent on the client and roles and responsibilities differ from project to project;;;;;;;
 As a consultant, there is very little work/life balance, however;;1;;;;;
 Good opportunity to travel and work locally;;;;;;;
Its Big 4 company;;;;;;1;
 we were into preparation of US corporate tax returns,I learnt Corp tax, One source softwares,Every engagement is a new one,week ends;;;;;;;
its very good company for work & financial growth;;;;;;1;
 company are arranging training for its employees;1;;;;;;
 too much for learn having European culture;;;;;;;
Overall I have practically all positive things to say about working Microsoft;;;;;;1;
 Like any company, your happiness is greatly affected by your specific team's policies and people;;;;;1;;
 I'd say the majority of people I worked with were happy and were great people;;;;;1;;
Excellent company;;;;;;1;
,Good training and experience;;;;;;;
,Access to resources are abundant;;;;;;;
With a bouquet of administrative things handled my previous one gave me immense pleasure in organising programs self handedly;;;;;;;
,Arranged for free health camps to check 700 employees BP, Diabetes, Blood count;;;;;;;
 Took up many measure weekly to ensure they think about their health and reduce their stress;;;;;;;
,I was in charge of arranging free bus transport to pick up employees from home to work, this area was 10 kms distance from office to residences of employees;;;;;;;
 Employees concentrated staying in the city and hence this plan was successful and appreciated by everyone;;;;;;;
 Dubai summer which crosses 50 deg celcius, smaller bus shuttled from parking area to office, a radius of 5 kms once every hour;;;;;;;
 Even the higher management would use the bus to avoid walking in the scortching Dubai heat;;;;;;;
,Hardest part of the job was to reconcile the medical insurance plan for all employees;;;;;;;
 I had spotted 17 cases that were reduntant and premium for those were being paid even after the employees resigned a year back;;;;;;;
,Management gave us opportunity to manage drivers, I chaired the committee to hear their complaints and bring out solutions for their better professional career;;;;;;;
 Organised a sponsored body check up for drivers to ensure they are not suffering any disease to ensure they are capable of driving the top management bosses for long distances every day for meetings;;;;;;;
 Also encouraged them to participate in jobs out of their profile like helping around in a conference with distribution of pamplets, helping reception in delivering couriers, collection of cheques and cash from banks;;;;;;;
,I enjoyed to organise;;;;;;;
"As the slogan for EY is "" A building a better working world"" ";;;;;;;
 I have grown immensely professionally and individual at EY;;;;;;;
,Team work is crucial at EY ;;;;;;;
I have enjoyed the most part of it ;;;;;;;
A very great place to work with;;;;;;;
 The working environment brought employee to a creative mind set;;;;;;;
 Feel fresh each and very day;;;;;;;
 I enjoyed working there;;;;;;;
Ernst and Young in Glasgow is a fun to place to work;;;;;;;
 Everyday is diffent and the colleagues I have met and worked with over the years have became very close friends;;;;;;;
Great company to work for with like minded people;;;;;;;
 Great benefits;;;;;;;
Although sounds easy but networking is not an easy thing in this company;;;;;;;
 Once joined you are hanging around and at the mercy of talent manager;;;;;;;
,If you are worried about job security, don't join this company;;;;;;;
Allows me to analyse a range of Financial Services products being offered in the industry;;;;;;;
 I have to assess the quality given the industry standards and best practices laid down by the regulatory bodies;;;;;;;
Logistics and create new ideas for Google shopping customers;;;;;;;
,Improve product feature by providing partner feedback to internal cross-functional teams including product management and engineering;;;;;;;
I started off my career in a Global Consulting firm;;;;;;;
 It was a great place to start my career because it was a high energy environment with career advancement;;;;;;;
,I gained advance skills in IT project management, alignment, optimization and transformation in the Retail, Wholesale, Consumer Products, Oil and Gas Industries;;;;;;;
,The consulting firm allowed me to build my relationship and interpersonal skills that have been a huge part of my success till date;;;;;;;
I learnt a lot whist there as the job was completely different to LLoyds Bak,Its too far back for me to provide any more info,Left to have a baby;;;;;;;
Worked in a project called True-comp ;;;;;;;
 Worked heading a team of 6 members ;;;;;;;
 Coordinating with the client in getting the requirement, Sorting the issues with client;;;;;;;
AdaQuest is great company to work for;;;;;;;
 They are friendly and care about individuals;;;;;;;
 They provide great benefit and training as well;;;;;;;
Deloitte India is an awesome place to work;;;;;;;
" The strongest and biggest thing ever is the ""people""";;;;;;;
 This was my first and most memorable job ever!;;;;;;;
A must have on your resume if you want any type of accounting experience;;;;;;;
 Be ready to work long hours and be pushed to your limit;;;;;;;
 All of your skills will be tested (i;;;;;;;
e communication, leadership, excel etc;;;;;;;
) A work life balance is preached but it all depends on the team you are placed on;;;;;;;
 Must be a self starter and put all things aside for the client;;;;;;;
 Be ready to work 7 days a week and don't plan to do much beyond work till you make senior;;;;;;;
 The job is worth it, the longer you stay in the better the opportunity for when you leave;;;;;;;
 You are groomed for success but you really have to work for it;;;;;;;
It is one of the best companies to work with;;;;;;;
 The people here are cooperative, understanding and able to maintain their work-life balance;;;;;;;
Very Powerful and Enhancing for IT Professionals,Good EXPOSURE to newer lot, lot of documentation to learn;;;;;;;
,Loved working with accenture but don't approve of TALENT EXPERT who judge and are rude sometimes;;;;;;;
 ,Other wise, it's a wonderful company;;;;;;;
Working at Accenture gives an employee an enhanced productivity and learning experiences at the work place;;;;;;;
 Career wise, personal growth are developed with its various training and work enhancement programs;;;;;;;
 Health benefits are given priority and the physical well-being of all employees;;;;;;;
Best place tok work;;;;;;;
,Management is approachable anytime of the day;;;;;;;
EY is a great place to work;;;;;;;
 I have learned a lot of skills related to reporting, people management etc;;;;;;;
As working for Microsoft, the job culture and great facility have always been great;;;;;;;
Great place to work, many opportunities to learn new skills;;;;;;;
 Performance is rewarded;;;;;;;
,Co-workers were helpful and willing to pitch in to improve the work and resolve issues;;;;;;;
This review pertained the interview process;;;;;;;
,i drove 4 hours round trip to out of town interview;;;;;;;
 Meals expenses were deducted from my reimbursement;;;;;;;
 The form clearly stated that meal will be expense if it has not been paid by the company;;;;;;;
There is too much confusion in the organization;;;;;;;
 It has become huge and no body knows whose who;;;;;;;
 Though they say its a global company but people are forced to switch cities;;;;;;;
 Work life balance is good as far as my assignment is concerned ;;;;;;;
 The work is mundane and everything is controlled from onshore;;;;;;;
Great brand to work with and exposure to the work culture of Big4 world;;;;;;;
Manage the day-to-day business activity and coordinate with my project team daily activities;;;;;;;
,Bi-weekly meeting to overview time schedule and engineering activities;;;;;;;
,Project reviews with top management on monthly basis;;;;;;;
,Site progress;;;;;;;
,Customer reporting and business meetings with client ans suppliers;;;;;;;
Sometimes overload of work, but an excellent place to learn;;;;;;;
If you are mid- to senior- career this is not the place to go;;;;;;;
 Place is run by blow hard Managing Directors who are incapable of speaking without jargon and buzzwords;;;;;;;
 A religious zealotry aimed at PowerPoint decks;;;;;;;
 Decisions roll down hill and anyone who questions them is deemed a bad apple;;;;;;;
 I was a Manager and was basically treated like garbage by Sr;;;;;;;
 Managers and Managing Directors;;;;;;;
 Was actually told not to ask questions to a certain MD because he didn't like not having answers directly at his finger tips;;;;;;;
 Only good for people who have worked here their entire lives or are fresh out of college and want to cut their teeth in a Big 4 environment;;;;;;;
 Warning if you are out of college you will be the PowerPoint/Excel stooge for the team;;;;;;;
People and culture make Deloitte a great place to work;;;;;;;
The culture is about inclusion, collaboration, high performance, and opportunity;;;;;;;
Great atmosphere for fresher for learning new things constantly at work;;;;;;;
Deloitte LLP , India is one of the big four company in financial service providers;;;;;;;
A lot of lifting and cleaning, Washing up and sometimes shopping for food, or cleaning stock;;;;;;;
Reimbursed auditors in Deloitte, China,Reviewed financial problems of departing staff,Communicated with Local Taxation Bureau;;;;;;;
Working for Microsoft was a great opportunity! My job was mostly from Home so I got to virtually meet new people from other countries and coordinate classes for Latin America Sales and Marketing teams;;;;;;;
 I loved it!;;;;;;;
The work culture is very good, enjoyed a lot with the team;;;;;;;
 Very good management, we can balance our work life and personal life;;;;;;;
Overall a good option for employment within the Canadian software space,Good training opportunities,aggressive growth targets,Perception challenges in the marketplace;;;;;;;
If you are smart, you should look for a new job outside of the firm the moment you join in;;;;;;;
good place to work, good work life balance, flexible work options and good pay;;;;;;;
 work is recognized;;;;;;;
 fun at work, team outings;;;;;;;
 Overall, a  great place to work;;;;;;;
My typical day starts with a call with the onsite team early in the morning and over the call we plan our work, discuss the timelines, clear doubts, share knowledge etc;;;;;;;
 Deloitte gives ample opportunities and flexibility to choose our career path and develop our-self;;;;;;;
,Management is very transparent,helpful and takes good care of the employees;;;;;;;
 Everyone is provided with a good medical care program, we also have sabbatical programme, then female employees are provided long maternity leaves and extra allowances ;;;;;;;
,Deloitte believes in diversity and here we can find workers from various communities and background;;;;;;;
 But here in office even though we have cultural ,language and other differences, we are all united by the business, the project and most importantly by the common goal that we all share;;;;;;;
 The hardest part of the Job would be working with the team at onsite i;;;;;;;
 Because of the timezone differences we have to attend calls early in the morning and late at night too and this sometimes affects our work life balance;;;;;;;
 Another challenge is to understand the clients need;;;;;;;
 The offshore hardly interacts with the client and all the information and updates come from the onsite team and therefore some information are misinterpreted, some misunderstood and some missed out on its way to us;;;;;;;
,The most enjoyable part is the 30 days paid holiday that employees are given each year and plus 10 days public holiday in a year;;;;;;;
,We also have enough of events and programs to keep the spirits high on the floor;;;;;;;
Though I do a lot of the same tasks in the exact same building as before, working for Hilton now through Accenture has brought a bit of change to the 'days of old';;;;;;;
 Accenture is a great company to work for, and brings flexibility and employee oriented events to help bring motivation and boost overall morale while promoting teamwork!;;;;;;;
Awesome straight out of college, projects are challenging, clients are too, but the pay and benefits are fantastic;;;;;;;
 Travel requirements can be brutal and not great for having a relationship or family;;;;;;;
Code of Conduct not adhered to , HR does not investigate just victimizes the victim;;;;;;;
 Whenever they build a new building they mass downsize workers from the old building;;;;;;;
 You only get a month salary when you are fired nothing more;;;;;;;
 They hold on to your 401K hostage for an additional 45 days before they release it;;;;;;;
 It was 5 years of unprofessional work environment worse job I ever had;;;;;;;
That era had very different business and technology landscape;;;;;;;
 Motorola was typically a hardware company, without the necessary internet driven dynamics and enablers to compete in the technology space;;;;;;;
enjoy being there receptionist and up stairs I would file records away  and then I would go back to receptionist desk and love this job because we have free food every time it was somebody birthday  and free bagel and I love that every Friday morning and it was great;;;;;;;
Performs road geometry using different resource (i;;;;;;;
) Satellite imagery, GPS Traffic samples and Google street view;;;;;;;
 ,Provides project management, strategy plans, matrix of all technical issues related to projects, build, support & maintain project operations in production environment and business analysis for projects and business processes to ensure delivery of the project for multiple stages;;;;;;;
,Works on different stages of project like (Geo, Important Roads), analysis, research and development of EMEA (Europe, the Middle East and Africa) countries road system and intersection configuration;;;;;;;
,Analyzed country road geometry ;;;;;;;
Identifying Turn-restrictions to avoid illegal turns and synchronizing with project policies;;;;;;;
Very educational lots of continuing learning;;;;;;;
 Which is a good thing;;;;;;;
,Office is very busy lots of challenges with the resources to help you exceed and to meet any dead-lines;;;;;;;
Ernst and Young was as fantastic company to work for with good hours and good management team ;;;;;;;
 Projected myself in all areas of the business and continued good relationships with co workers;;;;;;;
,Being part of the EY culture was overwhelming;;;;;;;
The company provided me an opportunity to become part of key projects such as the 'Entrepreneur of the Year' project and helped me add to my skill set;;;;;;;
,The HR, team members and my manager made sure that the work environment was conducive;;;;;;;
 Everyone's inputs were well-respected and it was a great and fulfilling place to work;;;;;;;
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations;;;;;;;
 I was Delivery Director/manager for various clients including Vodafone, Naspers, MTN Group, Cell C, KPN, Standard Bank, Barclays Bank, South Africa Broadcasting Cooperation (SABC), SABMiller, New York City Council, Huawei, Etisalat;;;;;;;
Management of a team composed by 15 developers, 3 technical leaders, 2 project managers;;;;;;;
,A typical day at work is to check every developers day to day work;;;;;;;
,To planify, manage planing & costs;;;;;;;
Best Place to learn new ropes, beginners place!   Great place to start a career;;;;;;;
Challenging pressures to meet deadlines;;;;;;;
You deal with the customer very closely and you have the opportunity to learn a lot of interesting things in a short period of time;;;;;;;
 You work with staff members but also with partners, so you real feel that you belong to the team and the company;;;;;;;
Good company, Good benefits, People are great, Very poor work-life balance;;;;;;;
I worked as senior associate and had a great experience in middle office worked for almost 3;;;;;;;
3 years in bnp;;;;;;;
 its was stress free environment;;;;;;;
 As a senior member trained many fellow members;;;;;;;
,And all types of process under bnp investment process;;;;;;;
,worked in chennai, tamil nadu;;;;;;;
Nature of work will hone one's skills and talents;;;;;;;
 Work includes training and development;;;;;;;
 An ideal place for professionals who desire for continuous professional progress;;;;;;;
long hours, tough bosses, great coworkers, culture depends largely on project;;;;;;;
 can be difficult to find projects, inefficient method of matching open roles to employees;;;;;;;
Microsoft is a great company with tons of folks highly passionate about their area, technology, pushing the envelop, etc;;;;;;;
 Microsoft is in a major change that seeks to and I believe will long-term, improve the culture, quality and execution of Microsoft solutions and services in the mobile-first, cloud-first arenas;;;;;;;
There were no typical days at work in Internal Audit;;;;;;;
 Every day was different, which was what I enjoyed most about the job;;;;;;;
It was an exciting experience to complete the work allotted, on time, as the process need to completed on time and the operation emphasis on timely delivery of service;;;;;;;
,I learned work etiquette, quality and productivity management through my experience;;;;;;;
,The management and co-workers were very supportive;;;;;;;
,The hardest part of the job is that there will be update in process each and everyday and have to adapt changes each and every day;;;;;;;
,The enjoyable part of the job is completing assigned task on time which was very exciting, employee engagement activities and fun activities;;;;;;;
As Ernst and Young was my first company, it will always hold a special place for me;;;;;;;
 Everything that I have learnt about corporate life comes from the time spent in EY;;;;;;;
 A fantastic place to work with an excellent work culture;;;;;;;
Learning alot about Ecommerce and customizable payment systems for BGs;;;;;;;
I worked there as they were a client for my company;;;;;;;
 It was a good place to work;;;;;;;
 Good atmosphere and qualified coworkers;;;;;;;
Microsoft is exciting and very fast paced;;;;;;;
 Management is more about making money than assisting you in your development;;;;;;;
